"georeferenceVerificationStatus","reps"
"",5342000
"unverified",490430
"unknown",250153
"requires verification",45436
"verified by collector",45299
"not reviewed",40722
"reviewed - high confidence",34682
"migration",15971
"accepted",7061
"verified and locked",3489
"verified by curator",1001
"Verified",76
"reviewed",72
"unaccepted",28
"Reviewed",6
"Unverified",5
"\\",2
"reviewed - medium confidence",2
"ed",1
"liz",1
"n",1
"no",1
"reviewed & deleted bad georefere",1
"reviewed - egbot (2012-08-16)",1
"verbatimcoordinate source",1
"Verified by data custodian",1
"verified w/ reasonable certainty",1
