"islandGroup","reps"
"",6059036
"Greater Antilles",66599
"West Indies: Greater Antilles",34014
"Lesser Antilles",30399
"Hawaiian Islands",16822
"West Indies",14950
"Leeward Islands",8548
"Solomon Islands",6313
"Greater Sunda Islands",4015
"Luzon Islands",3823
"Fiji Islands",3018
"Caroline Islands",2318
"Maluku Islands",1900
"Society Islands",1674
"Galapagos Archipelago",1216
"Samoa Islands",1103
"Mindanao Islands",1024
"Ryukyu Archipelago",989
"Pearl Islands",974
"Visayas Islands",928
"Loyalty Islands",890
"Lesser Sunda Islands",845
"San Blas Islands",794
"Bocas Islands",754
"British Isles",679
"Mariana Islands",677
"Turks and Caicos Islands",600
"Madeira Islands",582
"Channel Islands",545
"Canary Islands",540
"Azores Islands",481
"Falkland Islands",394
"Aleutian Islands",369
"Bay Islands",346
"Alexander Archipelago",341
"Seychelles Islands",290
"Tuamotu Archipelago",262
"Juan Fernández Archipelago",243
"Bay Islands: Swan Islands",241
"Maltese Archipelago",237
"Marquesas Islands",232
"Banggai Islands",225
"Florida Islands",225
"Izu Islands",224
"Pribilof Islands",208
"San Juan Islands",192
"Balearic Islands",186
"Bonin Islands",177
"Aru Islands",169
"Japanese Archipelago",168
"Sula Islands",157
"Grenadines",149
"Andaman Islands",145
"Gilbert Islands",136
"West Indies: French Antilles: Leeward Islands",131
"Mascarene Islands",121
"Okinawa Islands",112
"Chagos Archipelago",107
"Line Islands",103
"Magdalen Islands",101
"Commander Islands",91
"Kurile Islands",90
"Galápagos Archipelago",88
"Mentawai Islands",84
"Admiralty Islands",82
"Lau Island Group",79
"Raja Ampat Islands",79
"Bahamas",78
"Trinity Islands",71
"Schouten Islands",70
"Blasket Islands",68
"Midway Islands",68
"Florida Keys",66
"Cook Islands",64
"Rat Islands",63
"Faeroe Islands",61
"Bay Islands: Cayos Cochinos",60
"Duke of York Islands",58
"Comoros Archipelago",55
"Sangihe Islands",54
"Haida Gwaii Archipelago",53
"Malta",53
"Shumagin Islands",53
"Tubuai Islands",53
"British Virgin Islands",52
"Swan Islands",52
"Chatham Islands",51
"Wallabi Islands",49
"Corn Islands",48
"Cyclades",47
"Maldive Islands",47
"Lubang Islands",46
"Semidi Islands",46
"Kai Islands",45
"Green Islands",40
"Torres Strait Islands",40
"Tanimbar Islands",39
"Nicobar Islands",36
"Phoenix Islands",36
"Bardswell Group",35
"Bismarck Archipelago",35
"Diomede Islands",35
"Louisiade Archipelago",34
"Cuba",33
"Soko Islands",32
"Tierra del Fuego Islands",32
"Dentrecasteaux Islands",31
"Svalbard",30
"Togian Islands",28
"Illes Balears",26
"Tristan da Cunha",26
"New Georgia Islands",25
"Talaud Islands",25
"Calamian Islands",24
"South Shetland Islands",24
"Austral Islands",23
"Orkney Islands",22
"Snares Islands",22
"Amelia",19
"Batanes Islands",19
"Kermadec Islands",19
"Marianas",19
"Revilla Gigedo Islands",19
"Andaman and Nicobar Islands",18
"Dry Tortugas",17
"Marshall Islands",17
"Banda Islands",16
"Olu Malau Islands",16
"Santa Cruz Islands",16
"Sese Islands",16
"Vanatu",16
"New Caledonia",14
"Kadavu Group",13
"Halmahera Islands",11
"Russel Islands",11
"Desventuradas Islands",10
"Fiji",10
"Franz Josef Land",10
"Samoan Islands",10
"Shetland Islands",10
"Bermuda",9
"Cumberland Islands",9
"Lomaiviti Archipelago",9
"Gambier Islands",8
"Madeiras",8
"Barat Daya Islands",7
"Lihir Island Group",7
"Natuna Islands",7
"Mono Lake",6
"Novaya Zemlya",6
"Riau Archipelago",6
"Singapore",6
"West Indies: Lesser Antilles: Leeward Islands",6
"Windward Islands",6
"Kerguelen Islands",5
"Pescadores Islands",5
"Bacan Islands",4
"Coronados Islands",4
"Tuvalu",4
"Aldabra Group",3
"Bounty Islands",3
"Cocos Islands",3
"Dependencias Federales",3
"Emily Group",3
"Guadeloupe",3
"Heard Islands",3
"Little Key Islands",3
"New Siberian Islands",3
"Outer Hebrides",3
"Palau Islands",3
"Queen Charlotte Islands",3
"St. Kilda",3
"Tres Marías",3
"Tukang Besi Islands",3
"Vanua Leva Group",3
"Aland Islands",2
"Cape Verde Islands",2
"Galápagos",2
"Los Roques Archipelago",2
"Murcielagos Islands",2
"Savu Islands",2
"Taumotu Islands",2
"Tuscan Archipelago",2
"ABC Islands",1
"Alor Archipelago",1
"Anambas Islands",1
"Aran Islands",1
"Bahama Islands",1
"Biak Islands",1
"Campbell Islands",1
"Côn Đảo Archipelago",1
"Comoros Islands",1
"Cory Island",1
"Crozet Islands",1
"De Long Group",1
"Desolation Islands",1
"Ellice Islands",1
"Farne Islands",1
"Friendly Islands",1
"Gotō Islands",1
"Hen and Chicken Islands",1
"Islas Marias",1
"Kerama Islands",1
"Leti Islands",1
"Lofoten Archipelago",1
"Marquesas",1
"Near Islands",1
"Philippine Islands",1
"Russell Islands",1
"Saaristo Islands",1
"San Gallan",1
"Seychelles",1
"Shantar Islands",1
"The Grenadines",1
"Vanuatu",1
"Watubela Archipelago",1
"West Indes",1
