"lifeStage","reps"
"",6256275
"Adult",10704
"adult",4249
"juvenile",1900
"larvae",1314
"larva",638
"nymphs",550
"nymph",227
"subadult",111
"adults",104
"immature",97
"larvae and adults",87
"forb",38
"larvae and adult",29
"young",17
"Flowers",12
"pupa",12
"pupae",10
"larva and adult",8
"larvae and pupae",8
"larvae and pupa",7
"gerontic",5
"protaspis",4
"holaspid",3
"shrub",3
"flowering",2
"Fruiting",2
"larva & adults",2
"larva and case",2
"larvae & adults",2
"meraspid",2
"Pupa",2
"adult and eggs",1
"adultq",1
"Aduly",1
"athens",1
"Caterpillar",1
"flowers",1
"fr",1
"larva and adults",1
"larva and egg",1
"larva and pupae",1
"larvae and cases",1
"Male",1
"neonate",1
"subshrub",1
"tree",1
"vegetative",1
"Vegetative",1
"Wing",1
