"sex","reps"
"",5818021
"male",225366
"female",160236
"unknown",30469
"Female",13792
"Male",12842
"multiple",4904
"macroconch",3682
"female , male",2688
"microconch",1018
"not recorded",844
"female ?",747
"male ?",643
"male , female",352
"male , male",305
"male 1",131
"female 1",83
"FALSE",37
"M",17
"female , male , male",16
"NotApplicable",15
"male Male",13
"male , unknown",13
"male , female , unknown",11
"Gynandromorph",10
"female Female",9
"male 2",9
"Male , Male",9
"multiple  males,  females &  juv.",8
"female 2",6
"female , female",6
"female (w/eggs)",6
"multiple  males &  females",6
"Female , Female",5
"multiple Male & female",5
"female 3",4
"male 1, female",4
"male 1, female 2",4
"male , female (w/eggs)",4
"ovigerous female",4
"female , male , unknown",3
"male , female , multiple",3
"multiple , female , male",3
"female 1, male",2
"Female , Male",2
"female , unknown",2
"female , unknown , male",2
"Intersex",2
"male 2, female 2",2
"male 3, female",2
"male 4",2
"Male , Female",2
"male , multiple",2
"male , unknown , female",2
"multiple , male",2
"multiple , male , female",2
"unknown , male",2
"unknown , unknown",2
"female 15, male",1
"female 1, male 1",1
"female 2, male",1
"female 2, male 1",1
"female 2, male 2",1
"female 36",1
"female 3, male 6",1
"female 4",1
"female 6, multiple 7",1
"female embryo present",1
"female , female , female",1
"female , female , female , male",1
"female , male , female",1
"female , male , multiple",1
"female , multiple",1
"hermaphrodite",1
"male `",1
"male 10, female 41, multiple 9",1
"male 11, female",1
"male 11, female 13, multiple",1
"male 11, female 8",1
"male 19, female 2",1
"male 1, female 1",1
"male 1, female 4",1
"male 1, female 7, multiple",1
"male 20, female 17, multiple",1
"male 21, female 1",1
"male 2, female 1",1
"male 2, female 2, multiple 4",1
"male 2, female 3, multiple",1
"male 2, multiple 2",1
"male 3",1
"male 36, female 10, multiple 3",1
"male 36, female , multiple",1
"male 39, female 6, multiple 12",1
"male 3, female 2",1
"male 4, female 1",1
"male 4, female 3, multiple 4",1
"male 5, female",1
"male 5, female 4",1
"male 6",1
"male 6, female 10, multiple 2",1
"male 7, female 1",1
"male 9, female 1",1
"male 9, female 4, multiple 2",1
"male and female",1
"male & female",1
"Male & Female",1
"male , female , female",1
"male in breeding colors",1
"multiple 1 male, 4 juvenile",1
"multiple 2",1
"multiple 2 Male & 1 female",1
"multiple 3",1
"multiple 5",1
"multiple 5 male, 6 juvenile",1
"multiple 8 male, 6 female, 6 juv",1
"multiple females &  juv.",1
"not recorded , male",1
"undeterminable",1
"unknown , female ?",1
