"taxonRank","reps"
"",4729304
"Species",488283
"species",257916
"genus",157099
"Order",103034
"class",83201
"Animalia",68617
"Class",58562
"family",58292
"order",51513
"Family",33937
"Phylum",28050
"Kingdom",23099
"Genus",21341
"var.",20550
"specificEpithet",19877
"subspecies",16502
"Subspecies",9344
"Suborder",7765
"subsp.",7763
"variety",7305
"Superfamily",6633
"phylum",3787
"Subphylum",3537
"Subclass",3392
"subclass",1473
"Superorder",1035
"subfamily",976
"Infraorder",895
"suborder",681
"Subfamily",555
"Subgenus",326
"Subdivision",266
"Variety",232
"Division",200
"infraspecificEpithet",158
"forma",142
"Subspec",96
"superfamily",96
"var",74
"X",70
"Superclass",55
"x",55
"matrix",50
"form",40
"kingdom",38
"morpha",37
"subgenus",35
"fo.",33
"unknown",25
"f.",21
"Protozoa",19
"Clade",17
"Tribe",14
"Plantae",7
"infraspecies",5
"undefinable",5
"phylym",3
"incertae sedis",1
"Incertae sedis",1
"Metazoa",1
"mineral",1
"phylum | class",1
"phyluym",1
"sed rock",1
